fact 	 coverage 
effect_down(s6,s17)	663
effect_down(s6,s18)	736
effect_down(s6,s19)	707
effect_down(s6,s2)	663
effect_down(s6,s20)	736
effect_down(s6,s3)	442
effect_down(s6,s4)	589
effect_down(s6,s5)	832
effect_down(s6,s7)	0
effect_down(s6,s8)	663
effect_down(s6,s9)	589
effect_down(s7,s1)	442
effect_down(s7,s10)	773
effect_down(s7,s11)	810
effect_down(s7,s12)	442
effect_down(s7,s13)	773
effect_down(s7,s14)	442
effect_down(s7,s15)	589
effect_down(s7,s16)	803
effect_down(s7,s17)	795
effect_down(s7,s19)	663
effect_down(s7,s2)	707
effect_down(s7,s20)	828
effect_down(s7,s3)	589
effect_down(s7,s4)	803
effect_down(s7,s5)	736
effect_down(s7,s8)	736
effect_down(s7,s9)	810
effect_down(s8,s1)	707
effect_down(s8,s10)	736
effect_down(s8,s11)	785
effect_down(s8,s13)	757
effect_down(s8,s14)	0
effect_down(s8,s15)	589
effect_down(s8,s16)	663
effect_down(s8,s17)	589
effect_down(s8,s18)	663
effect_down(s8,s19)	816
effect_down(s8,s2)	707
effect_down(s8,s20)	820
effect_down(s8,s3)	663
effect_down(s8,s4)	816
effect_down(s8,s5)	773
effect_down(s8,s6)	589
effect_down(s8,s7)	757
effect_down(s8,s9)	773
effect_down(s9,s1)	736
effect_down(s9,s10)	810
effect_down(s9,s11)	803
effect_down(s9,s12)	589
effect_down(s9,s13)	757
effect_down(s9,s14)	442
effect_down(s9,s16)	803
effect_down(s9,s17)	757
effect_down(s9,s18)	773
effect_down(s9,s19)	442
effect_down(s9,s2)	0
effect_down(s9,s20)	757
effect_down(s9,s4)	736
effect_down(s9,s5)	736
effect_down(s9,s6)	589
effect_down(s9,s8)	663
effect_up(s1,s10)	589
effect_up(s1,s11)	707
effect_up(s1,s12)	442
effect_up(s1,s13)	757
effect_up(s1,s14)	589
effect_up(s1,s15)	663
effect_up(s1,s16)	589
effect_up(s1,s17)	663
effect_up(s1,s18)	589
effect_up(s1,s19)	663
effect_up(s1,s2)	589
effect_up(s1,s20)	707
effect_up(s1,s3)	442
effect_up(s1,s4)	707
effect_up(s1,s5)	736
effect_up(s1,s8)	663
effect_up(s1,s9)	589
effect_up(s10,s1)	589
effect_up(s10,s11)	736
effect_up(s10,s12)	589
effect_up(s10,s13)	0
effect_up(s10,s14)	589
effect_up(s10,s15)	0
effect_up(s10,s16)	803
effect_up(s10,s17)	663
effect_up(s10,s18)	442
effect_up(s10,s19)	825
effect_up(s10,s2)	589
effect_up(s10,s20)	795
effect_up(s10,s3)	663
effect_up(s10,s4)	803
effect_up(s10,s5)	442
effect_up(s10,s6)	0
effect_up(s10,s7)	757
effect_up(s10,s8)	589
effect_up(s10,s9)	663
effect_up(s11,s1)	589
effect_up(s11,s10)	663
effect_up(s11,s13)	820
effect_up(s11,s14)	442
effect_up(s11,s15)	442
effect_up(s11,s16)	816
effect_up(s11,s17)	773
effect_up(s11,s18)	442
effect_up(s11,s19)	589
effect_up(s11,s20)	757
effect_up(s11,s3)	0
effect_up(s11,s4)	0
effect_up(s11,s5)	707
effect_up(s11,s9)	442
effect_up(s12,s1)	589
effect_up(s12,s10)	707
effect_up(s12,s11)	785
effect_up(s12,s13)	663
effect_up(s12,s14)	589
effect_up(s12,s15)	442
effect_up(s12,s16)	803
effect_up(s12,s17)	803
effect_up(s12,s18)	442
effect_up(s12,s19)	757
effect_up(s12,s2)	442
effect_up(s12,s20)	785
effect_up(s12,s3)	589
effect_up(s12,s4)	442
effect_up(s12,s5)	442
effect_up(s12,s6)	442
effect_up(s12,s7)	589
effect_up(s12,s8)	757
effect_up(s13,s1)	663
effect_up(s13,s10)	736
effect_up(s13,s11)	589
effect_up(s13,s12)	0
effect_up(s13,s15)	589
effect_up(s13,s16)	589
effect_up(s13,s17)	442
effect_up(s13,s18)	589
effect_up(s13,s19)	785
effect_up(s13,s2)	589
effect_up(s13,s20)	663
effect_up(s13,s3)	707
effect_up(s13,s4)	795
effect_up(s13,s5)	785
effect_up(s13,s6)	663
effect_up(s13,s7)	736
effect_up(s13,s8)	810
effect_up(s13,s9)	707
effect_up(s14,s11)	442
effect_up(s14,s12)	0
effect_up(s14,s13)	810
effect_up(s14,s15)	707
effect_up(s14,s16)	589
effect_up(s14,s17)	707
effect_up(s14,s19)	785
effect_up(s14,s2)	663
effect_up(s14,s20)	663
effect_up(s14,s3)	589
effect_up(s14,s4)	795
effect_up(s14,s5)	785
effect_up(s14,s6)	663
effect_up(s14,s7)	0
effect_up(s14,s8)	757
effect_up(s14,s9)	773
effect_up(s15,s1)	736
effect_up(s15,s10)	795
effect_up(s15,s11)	816
effect_up(s15,s12)	707
effect_up(s15,s13)	773
effect_up(s15,s16)	785
effect_up(s15,s17)	757
effect_up(s15,s18)	0
effect_up(s15,s19)	663
effect_up(s15,s2)	795
effect_up(s15,s20)	828
effect_up(s15,s3)	707
effect_up(s15,s4)	0
effect_up(s15,s5)	820
effect_up(s15,s6)	757
effect_up(s15,s7)	757
effect_up(s15,s8)	707
effect_up(s15,s9)	810
effect_up(s16,s1)	736
effect_up(s16,s10)	773
effect_up(s16,s11)	810
effect_up(s16,s12)	0
effect_up(s16,s13)	707
effect_up(s16,s15)	0
effect_up(s16,s17)	663
effect_up(s16,s18)	663
effect_up(s16,s19)	757
effect_up(s16,s2)	442
effect_up(s16,s20)	810
effect_up(s16,s3)	663
effect_up(s16,s4)	773
effect_up(s16,s5)	663
effect_up(s16,s6)	707
effect_up(s16,s7)	736
effect_up(s16,s8)	795
effect_up(s16,s9)	707
effect_up(s17,s1)	589
effect_up(s17,s10)	785
effect_up(s17,s11)	757
effect_up(s17,s13)	663
effect_up(s17,s14)	589
effect_up(s17,s15)	0
effect_up(s17,s16)	442
effect_up(s17,s18)	0
effect_up(s17,s19)	589
effect_up(s17,s2)	0
effect_up(s17,s20)	707
effect_up(s17,s3)	757
effect_up(s17,s4)	707
effect_up(s17,s5)	0
effect_up(s17,s6)	0
effect_up(s17,s7)	736
effect_up(s17,s8)	785
effect_up(s18,s10)	785
effect_up(s18,s11)	707
effect_up(s18,s12)	707
effect_up(s18,s13)	442
effect_up(s18,s14)	589
effect_up(s18,s16)	832
effect_up(s18,s17)	757
effect_up(s18,s19)	795
effect_up(s18,s2)	0
effect_up(s18,s20)	663
effect_up(s18,s3)	0
effect_up(s18,s4)	0
effect_up(s18,s5)	773
effect_up(s18,s6)	442
effect_up(s18,s7)	0
effect_up(s19,s1)	810
effect_up(s19,s10)	773
effect_up(s19,s11)	810
effect_up(s19,s12)	663
effect_up(s19,s13)	785
effect_up(s19,s15)	589
effect_up(s19,s16)	785
effect_up(s19,s17)	707
effect_up(s19,s18)	663
effect_up(s19,s2)	663
effect_up(s19,s20)	773
effect_up(s19,s3)	663
effect_up(s19,s4)	442
effect_up(s19,s5)	810
effect_up(s19,s6)	736
effect_up(s19,s7)	757
effect_up(s19,s8)	757
effect_up(s19,s9)	707
effect_up(s2,s1)	736
effect_up(s2,s10)	0
effect_up(s2,s11)	773
effect_up(s2,s12)	663
effect_up(s2,s13)	803
effect_up(s2,s14)	0
effect_up(s2,s15)	589
effect_up(s2,s16)	810
effect_up(s2,s17)	810
effect_up(s2,s19)	707
effect_up(s2,s20)	834
effect_up(s2,s3)	663
effect_up(s2,s4)	736
effect_up(s2,s5)	589
effect_up(s2,s6)	0
effect_up(s2,s7)	663
effect_up(s2,s8)	757
effect_up(s2,s9)	663
effect_up(s20,s1)	663
effect_up(s20,s11)	442
effect_up(s20,s12)	589
effect_up(s20,s13)	0
effect_up(s20,s14)	589
effect_up(s20,s15)	0
effect_up(s20,s16)	773
effect_up(s20,s17)	663
effect_up(s20,s18)	589
effect_up(s20,s19)	795
effect_up(s20,s2)	0
effect_up(s20,s4)	707
effect_up(s20,s5)	707
effect_up(s20,s6)	0
effect_up(s20,s7)	0
effect_up(s20,s8)	589
effect_up(s20,s9)	663
effect_up(s3,s1)	707
effect_up(s3,s10)	795
effect_up(s3,s11)	757
effect_up(s3,s12)	442
effect_up(s3,s14)	663
effect_up(s3,s15)	0
effect_up(s3,s16)	828
effect_up(s3,s18)	757
effect_up(s3,s19)	773
effect_up(s3,s2)	757
effect_up(s3,s20)	795
effect_up(s3,s5)	795
effect_up(s3,s7)	663
effect_up(s3,s9)	773
effect_up(s4,s1)	589
effect_up(s4,s10)	773
effect_up(s4,s11)	442
effect_up(s4,s12)	736
effect_up(s4,s13)	825
effect_up(s4,s14)	0
effect_up(s4,s15)	663
effect_up(s4,s16)	707
effect_up(s4,s17)	785
effect_up(s4,s18)	736
effect_up(s4,s19)	707
effect_up(s4,s20)	707
effect_up(s4,s5)	816
effect_up(s4,s6)	757
effect_up(s4,s8)	663
effect_up(s4,s9)	663
effect_up(s5,s1)	589
effect_up(s5,s11)	773
effect_up(s5,s13)	773
effect_up(s5,s15)	707
effect_up(s5,s16)	820
effect_up(s5,s17)	663
effect_up(s5,s18)	736
effect_up(s5,s19)	816
effect_up(s5,s2)	707
effect_up(s5,s20)	795
effect_up(s5,s4)	757
effect_up(s5,s8)	589
effect_up(s5,s9)	803
effect_up(s6,s1)	589
effect_up(s6,s10)	757
effect_up(s6,s11)	795
effect_up(s6,s12)	589
effect_up(s6,s13)	795
effect_up(s6,s14)	442
effect_up(s6,s15)	589
effect_up(s6,s16)	832
effect_up(s6,s17)	820
effect_up(s6,s18)	589
effect_up(s6,s19)	736
effect_up(s6,s2)	707
effect_up(s6,s20)	816
effect_up(s6,s3)	589
effect_up(s6,s4)	736
effect_up(s6,s5)	736
effect_up(s6,s7)	0
effect_up(s6,s8)	757
effect_up(s6,s9)	810
effect_up(s7,s1)	773
effect_up(s7,s10)	773
effect_up(s7,s11)	589
effect_up(s7,s12)	736
effect_up(s7,s13)	707
effect_up(s7,s15)	442
effect_up(s7,s16)	803
effect_up(s7,s17)	757
effect_up(s7,s18)	736
effect_up(s7,s19)	707
effect_up(s7,s2)	663
effect_up(s7,s20)	707
effect_up(s7,s3)	442
effect_up(s7,s5)	832
effect_up(s7,s6)	663
effect_up(s7,s8)	663
effect_up(s7,s9)	589
effect_up(s8,s1)	707
effect_up(s8,s10)	795
effect_up(s8,s11)	707
effect_up(s8,s12)	773
effect_up(s8,s13)	707
effect_up(s8,s14)	589
effect_up(s8,s15)	442
effect_up(s8,s16)	843
effect_up(s8,s17)	820
effect_up(s8,s18)	663
effect_up(s8,s19)	0
effect_up(s8,s2)	757
effect_up(s8,s20)	795
effect_up(s8,s3)	0
effect_up(s8,s5)	803
effect_up(s8,s6)	663
effect_up(s8,s9)	707
effect_up(s9,s1)	663
effect_up(s9,s10)	736
effect_up(s9,s11)	736
effect_up(s9,s12)	663
effect_up(s9,s13)	663
effect_up(s9,s14)	0
effect_up(s9,s15)	663
effect_up(s9,s16)	795
effect_up(s9,s17)	795
effect_up(s9,s18)	442
effect_up(s9,s19)	785
effect_up(s9,s2)	773
effect_up(s9,s20)	816
effect_up(s9,s3)	707
effect_up(s9,s4)	663
effect_up(s9,s5)	820
effect_up(s9,s6)	736
effect_up(s9,s7)	757
effect_up(s9,s8)	773
